City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
314,Maldonado,UY,-34.6667,-54.9167,51.19,92,0,5.41,clear sky
315,Boende,CD,-0.2167,20.8667,71.33,92,100,1.88,light rain
316,Loandjili,CG,-4.7561,11.8578,77.11,88,100,5.75,overcast clouds
317,Tupik,RU,54.4253,119.9327,37.67,30,14,9.35,few clouds
318,Umm Lajj,SA,25.0213,37.2685,84.45,58,3,7.76,clear sky
319,Liling,CN,27.6667,113.5,61.23,69,100,5.7,overcast clouds
320,Majene,ID,-3.5403,118.9707,84.4,74,99,9.01,overcast clouds
321,Maragogi,BR,-9.0122,-35.2225,74.03,82,38,5.79,scattered clouds
322,Mount Isa,AU,-20.7333,139.5,85.77,48,99,9.22,overcast clouds
323,Chalons-En-Champagne,FR,48.9539,4.3672,51.87,97,65,7.4,broken clouds
324,Padang,ID,-0.9492,100.3543,82.45,84,100,7.05,overcast clouds
325,Jalu,LY,29.0331,21.5482,70.45,59,0,6.04,clear sky
326,Marawi,PH,7.9986,124.2928,80.29,73,66,5.37,broken clouds
327,Fairbanks,US,64.8378,-147.7164,43.99,70,40,4.61,scattered clouds
328,Palu,ID,-0.8917,119.8707,86.16,77,98,3.33,overcast clouds
329,Atar,MR,20.5169,-13.0499,89.38,23,13,10.89,few clouds
330,Zhigansk,RU,66.7697,123.3711,27.84,72,100,6.33,overcast clouds
331,Paysandu,UY,-32.3214,-58.0756,49.66,92,6,8.25,clear sky
332,Santa Maria,BR,-29.6842,-53.8069,49.62,93,0,7.25,clear sky
333,Port Lincoln,AU,-34.7333,135.8667,64.62,69,83,13.09,broken clouds
334,Eyl,SO,7.9803,49.8164,81.28,67,66,15.23,broken clouds
335,Kodiak,US,57.79,-152.4072,51.31,82,100,13.8,light rain
336,Benguela,AO,-12.5763,13.4055,71.65,82,35,3.18,scattered clouds
337,Bitung,ID,1.4451,125.1824,88.65,71,67,5.82,broken clouds
338,Aloleng,PH,16.1307,119.7824,86.18,70,88,6.22,overcast clouds
339,Pahrump,US,36.2083,-115.9839,75.25,20,0,3.87,clear sky
340,Luganville,VU,-15.5333,167.1667,79.43,82,61,11.14,broken clouds
341,Ocampo,MX,21.65,-101.5,55.2,86,88,6.78,overcast clouds
342,Mehamn,NO,71.0357,27.8492,42.71,81,20,8.05,few clouds
343,Pervouralsk,RU,56.9053,59.9436,47.86,46,100,4.63,overcast clouds
344,Jardim,BR,-21.4803,-56.1381,72.64,66,3,5.01,clear sky
345,Karatau,KZ,43.1667,70.4667,53.6,25,0,7.74,clear sky
